doc_name,thread_name,thread_url,dominant_topic,topic_gamma,displacement,fuel_type,year,mileage_km,mileage_bucket,engine_group,technical_bucket,chronic_score,n_messages,gamma_vector
doc_01422,Manuel sanziman kendi kendine vites dusurme sorunu,https://www.golftutkusu.com/topic/18179-manuel-sanziman-kendi-kendine-vites-dusurme-sorunu,14,0.9735790654205657,1.4,petrol,2014,5000,0-30k,1.4_TSI,high,2,30,"[0.001209, 0.000367, 0.001617, 0.001157, 0.004823, 0.001289, 0.001453, 0.000726, 0.001245, 0.000574, 0.004506, 0.001035, 0.001063, 0.973579, 0.000887, 0.001559, 0.000549, 0.001426, 0.000852, 0.000084]"
doc_01423,Manuel sanzuman ses sorunu,https://www.golftutkusu.com/topic/9423-manuel-sanzuman-ses-sorunu,6,0.8620532728707171,1.2,petrol,2015,82000,60-90k,1.2_TSI,high,1,16,"[0.001493, 0.002812, 0.047345, 0.002765, 0.002725, 0.862053, 0.001859, 0.005025, 0.003039, 0.004891, 0.010440, 0.004798, 0.001089, 0.002152, 0.006883, 0.007028, 0.001945, 0.011772, 0.010450, 0.009436]"
doc_01424,Mars Almama Problemi,https://www.golftutkusu.com/topic/26560-mars-almama-problemi,11,0.8075274969380596,1.6,diesel,2013,208000,180-210k,1.6_TDI,high,1,12,"[0.001019, 0.000525, 0.137095, 0.001529, 0.001159, 0.002481, 0.001712, 0.002959, 0.002066, 0.000869, 0.807527, 0.002350, 0.000619, 0.003378, 0.001282, 0.016397, 0.001346, 0.002816, 0.003574, 0.009297]"
doc_01425,Mars Sistemi Arizali,https://www.golftutkusu.com/topic/12645-mars-sistemi-arizali,14,0.5971247838264288,NA,unknown,2015,NA,unknown,unknown,medium,1,7,"[0.003132, 0.000322, 0.000995, 0.001652, 0.008752, 0.001364, 0.002906, 0.000733, 0.001483, 0.000321, 0.374774, 0.001724, 0.001131, 0.597125, 0.000110, 0.000356, 0.000972, 0.000705, 0.001418, 0.000025]"
doc_01426,Mars basinca vuruntu sesi,https://www.golftutkusu.com/topic/25247-mars-basinca-vuruntu-sesi,19,0.9580295076954061,1.6,diesel,NA,240000,210k+,1.6_TDI,high,1,6,"[0.003857, 0.001264, 0.003233, 0.004161, 0.006315, 0.002543, 0.001201, 0.001242, 0.004114, 0.001361, 0.001956, 0.002118, 0.002115, 0.002376, 0.000723, 0.000538, 0.001016, 0.001742, 0.958030, 0.000097]"
doc_01427,Mars sistemi arizali. Servis! Arizasi,https://www.golftutkusu.com/topic/24824-mars-sistemi-arizali-servis-arizasi,18,0.35521376970561214,1.6,diesel,2017,10000,0-30k,1.6_TDI,high,1,18,"[0.018526, 0.000855, 0.044948, 0.015967, 0.105879, 0.165135, 0.037780, 0.016085, 0.077379, 0.007372, 0.019714, 0.017715, 0.008885, 0.028859, 0.013562, 0.020152, 0.002676, 0.355214, 0.042948, 0.000351]"
doc_01428,Marsa basinca teyp gidip geliyor..,https://www.golftutkusu.com/topic/9191-marsa-basinca-teyp-gidip-geliyor,13,0.9648744825448635,NA,unknown,2014,NA,unknown,unknown,low,0,14,"[0.001679, 0.001225, 0.002575, 0.002086, 0.006868, 0.001735, 0.001236, 0.001502, 0.002212, 0.000849, 0.001367, 0.001992, 0.964874, 0.002183, 0.000630, 0.000948, 0.000892, 0.002420, 0.002654, 0.000073]"
doc_01429,Marspiyel Hasarini Aero Marspiyel Kapatir mi?,https://www.golftutkusu.com/topic/22297-marspiyel-hasarini-aero-marspiyel-kapatir-mi,12,0.5270276364328785,NA,unknown,NA,NA,unknown,unknown,low,0,2,"[0.009798, 0.004624, 0.013537, 0.017772, 0.063531, 0.011208, 0.006760, 0.004759, 0.022623, 0.006188, 0.011905, 0.527028, 0.007374, 0.254464, 0.003091, 0.006757, 0.004206, 0.009125, 0.014922, 0.000328]"
doc_01430,Marspiyel ve sol kapi gocuk,https://www.golftutkusu.com/topic/23259-marspiyel-ve-sol-kapi-gocuk,14,0.9730470978854295,NA,unknown,NA,NA,unknown,unknown,low,0,1,"[0.000961, 0.000504, 0.002033, 0.000984, 0.003369, 0.001905, 0.001214, 0.000522, 0.001012, 0.000633, 0.003327, 0.001383, 0.001410, 0.973047, 0.001970, 0.001665, 0.000508, 0.001952, 0.001091, 0.000506]"
doc_01431,Masaj Koltuklu Sasi veya Akim Semasi Lazim,https://www.golftutkusu.com/topic/16751-masaj-koltuklu-sasi-veya-akim-semasi-lazim,9,0.40298448396142444,NA,unknown,NA,NA,unknown,unknown,low,0,2,"[0.001135, 0.002211, 0.330431, 0.001478, 0.001887, 0.002754, 0.001328, 0.001382, 0.402984, 0.002772, 0.004884, 0.002578, 0.000696, 0.001208, 0.004950, 0.006644, 0.001167, 0.004772, 0.015285, 0.209453]"
doc_01432,Mazot borusu,https://www.golftutkusu.com/topic/9580-mazot-borusu,8,0.9361349463137855,NA,unknown,2015,NA,unknown,unknown,low,0,1,"[0.000412, 0.003925, 0.000556, 0.002328, 0.000740, 0.000641, 0.000833, 0.936135, 0.000094, 0.003134, 0.003187, 0.000572, 0.000683, 0.000203, 0.001783, 0.037714, 0.001529, 0.003778, 0.000888, 0.000865]"
doc_01433,Mazot kokusu,https://www.golftutkusu.com/topic/12246-mazot-kokusu,6,0.9958122406059222,NA,unknown,NA,NA,unknown,unknown,high,2,11,"[0.000057, 0.000112, 0.000415, 0.000124, 0.000143, 0.995812, 0.000079, 0.000192, 0.000118, 0.000219, 0.000420, 0.000215, 0.000041, 0.000099, 0.000379, 0.000232, 0.000084, 0.000464, 0.000296, 0.000498]"
doc_01434,Mazot kokusu (kacak),https://www.golftutkusu.com/topic/22501-mazot-kokusu-kacak,5,0.9803835597271954,1.6,diesel,2014,NA,unknown,1.6_TDI,high,1,7,"[0.001969, 0.000361, 0.002109, 0.001447, 0.980384, 0.002003, 0.000656, 0.001507, 0.001790, 0.000426, 0.000761, 0.001308, 0.000554, 0.001987, 0.000155, 0.000554, 0.000849, 0.000304, 0.000838, 0.000037]"
