doc_name,dominant_topic,topic_gamma
doc_00525,5,0.27998787
doc_00526,5,0.23158589
doc_00527,1,0.16472496
doc_00528,8,0.103326894
doc_00529,10,0.28305072
doc_00530,8,0.14944306
doc_00531,14,0.3554777
doc_00532,5,0.30975333
doc_00533,4,0.35762915
doc_00534,9,0.14762056
doc_00535,1,0.5168254
doc_00536,2,0.31752262
doc_00537,8,0.18102713
doc_00538,13,0.16266532
doc_00539,9,0.31851265
doc_00540,5,0.25161502
doc_00541,5,0.18918489
doc_00542,1,0.35605097
doc_00543,6,0.30238122
doc_00544,3,0.18188737
doc_00545,1,0.38832906
doc_00546,8,0.10283981
doc_00547,2,0.6289353
doc_00548,5,0.18148631
doc_00549,6,0.12839152
doc_00550,5,0.13486204
doc_00551,13,0.31472465
doc_00552,13,0.14037035
doc_00553,6,0.113445
doc_00554,1,0.49067172
doc_00555,12,0.2797286
doc_00556,2,0.5857161
doc_00557,9,0.22164422
doc_00558,1,0.269538
doc_00559,4,0.099211425
doc_00560,1,0.40024132
doc_00561,9,0.38452038
doc_00562,3,0.12954223
doc_00563,1,0.36216396
doc_00564,9,0.56117916
doc_00565,9,0.46832085
doc_00566,1,0.4352433
doc_00567,2,0.30521616
doc_00568,2,0.17025857
doc_00569,4,0.6061313
doc_00570,9,0.3876588
doc_00571,1,0.40131092
doc_00572,2,0.33201417
doc_00573,1,0.5156265
doc_00574,10,0.0954867
doc_00575,3,0.44695488
doc_00576,3,0.12057923
doc_00577,6,0.121764176
doc_00578,2,0.4104996
doc_00579,3,0.120565414
doc_00580,1,0.34713426
doc_00581,9,0.46273637
doc_00582,3,0.54436135
doc_00583,3,0.38201907
doc_00584,3,0.37798017
doc_00585,1,0.23982413
doc_00586,1,0.45925447
doc_00587,3,0.2968175
doc_00588,3,0.1110903
doc_00589,13,0.092912905
doc_00590,5,0.12578128
doc_00591,2,0.18622258
doc_00592,3,0.12650058
doc_00593,1,0.43063033
doc_00594,1,0.5305549
doc_00595,4,0.2541484
doc_00596,9,0.23719607
doc_00597,14,0.13732967
doc_00598,10,0.14945857
doc_00599,2,0.15535223
doc_00600,1,0.5005438
doc_00601,5,0.42498246
doc_00602,2,0.41479588
doc_00603,9,0.3682731
doc_00604,1,0.25363785
doc_00605,9,0.27310458
doc_00606,1,0.4284055
doc_00607,8,0.16463664
doc_00608,1,0.47090957
doc_00609,2,0.27014294
doc_00610,1,0.12025691
doc_00611,1,0.33792475
doc_00612,8,0.23766339
doc_00613,1,0.30669028
doc_00614,1,0.44993567
doc_00615,1,0.42405266
doc_00616,1,0.44896713
doc_00617,9,0.3872806
doc_00618,1,0.29240793
doc_00619,1,0.37270695
doc_00620,9,0.14918469
doc_00621,1,0.607124
doc_00622,1,0.1862584
doc_00623,2,0.30489668
doc_00624,8,0.087568946
doc_00625,10,0.10026925
doc_00626,5,0.16927607
doc_00627,1,0.2746343
doc_00628,12,0.20877111
doc_00629,1,0.15184334
doc_00630,1,0.41024417
doc_00631,1,0.19556944
doc_00632,1,0.5257736
doc_00633,1,0.48500323
doc_00634,9,0.49568716
doc_00635,4,0.21672525
doc_00636,4,0.109178126
doc_00637,1,0.46582457
doc_00638,12,0.17144345
doc_00639,1,0.5798853
doc_00640,2,0.10916449
doc_00641,14,0.270788
doc_00642,9,0.39674577
doc_00643,3,0.15348846
doc_00644,3,0.39842707
doc_00645,1,0.40695605
doc_00646,9,0.15446295
doc_00647,13,0.32000887
doc_00648,1,0.43096155
doc_00649,2,0.28946903
doc_00650,9,0.11251674
doc_00651,4,0.18327473
doc_00652,2,0.3051555
doc_00653,13,0.1032279
doc_00654,14,0.21737677
doc_00655,2,0.0892481
doc_00656,13,0.15469071
doc_00657,3,0.12271792
doc_00658,5,0.2046265
doc_00659,1,0.2486562
doc_00660,4,0.22347216
doc_00661,6,0.118556224
doc_00662,2,0.6120414
doc_00663,1,0.29895812
doc_00664,11,0.16624895
doc_00665,14,0.1579226
doc_00666,1,0.4310783
doc_00667,1,0.42870075
doc_00668,1,0.42563608
doc_00669,1,0.46227318
doc_00670,6,0.19187202
doc_00671,1,0.09577804
doc_00672,5,0.13252227
doc_00673,13,0.1114
doc_00674,1,0.43639943
doc_00675,1,0.47920117
doc_00676,2,0.23979677
doc_00677,1,0.52943474
doc_00678,2,0.1754333
doc_00679,1,0.22511935
doc_00680,1,0.3397325
doc_00681,1,0.38044485
doc_00682,13,0.42721182
doc_00683,4,0.3085617
doc_00684,6,0.4292386
doc_00685,9,0.21453762
doc_00686,9,0.582287
doc_00687,8,0.15333459
doc_00688,14,0.17781703
doc_00689,14,0.20786153
doc_00690,4,0.20082676
doc_00691,1,0.14214823
doc_00692,1,0.22011095
doc_00693,1,0.3833732
doc_00694,3,0.101820834
doc_00695,13,0.33913133
doc_00696,1,0.2030141
doc_00697,6,0.07692215
doc_00698,10,0.16078725
doc_00699,3,0.2597254
doc_00700,12,0.17429918
doc_00701,2,0.19872433
doc_00702,12,0.105196424
doc_00703,6,0.39532408
doc_00704,1,0.46421584
doc_00705,1,0.18915634
doc_00706,1,0.38464496
doc_00707,1,0.3882319
doc_00708,1,0.42849228
doc_00709,8,0.30903906
doc_00710,8,0.28880912
doc_00711,1,0.5393167
doc_00712,2,0.1498932
doc_00713,2,0.65089446
doc_00714,2,0.20783857
doc_00715,1,0.094208695
doc_00716,10,0.14111048
doc_00717,1,0.46588936
doc_00718,9,0.10106766
doc_00719,1,0.41394022
doc_00720,6,0.25071585
doc_00721,2,0.09264507
doc_00722,4,0.22041702
doc_00723,12,0.34385076
doc_00724,5,0.16862741
doc_00725,1,0.45218134
doc_00726,12,0.41490027
doc_00727,1,0.13141519
doc_00728,4,0.4250653
doc_00729,1,0.40669996
doc_00730,1,0.4108597
doc_00731,10,0.5469837
doc_00732,13,0.15380707
doc_00733,2,0.23961481
doc_00734,5,0.16320258
doc_00735,13,0.34770572
doc_00736,14,0.12645271
doc_00737,10,0.1813666
doc_00738,5,0.10047013
doc_00739,4,0.1167725
doc_00740,13,0.151513
doc_00741,1,0.44349784
doc_00742,1,0.43738693
doc_00743,1,0.5140292
doc_00744,10,0.105510615
doc_00745,14,0.0962541
doc_00746,1,0.21290101
doc_00747,1,0.59292376
doc_00748,1,0.2908477
doc_00749,15,0.34242597
doc_00750,1,0.2707595
doc_00751,1,0.4260294
doc_00752,13,0.14270169
doc_00753,2,0.6261713
doc_00754,1,0.40288043
doc_00755,1,0.2983976
doc_00756,11,0.17048217
doc_00757,13,0.20180874
doc_00758,2,0.29554647
doc_00759,9,0.49346948
doc_00760,13,0.30463776
doc_00761,4,0.18113486
doc_00762,4,0.1212242
doc_00763,2,0.110875174
doc_00764,1,0.30769503
doc_00765,5,0.18068479
doc_00766,1,0.47952193
doc_00767,13,0.21171391
doc_00768,6,0.083148755
doc_00769,1,0.4858223
doc_00770,1,0.2679487
doc_00771,10,0.496169
doc_00772,13,0.5254218
doc_00773,10,0.091460034
doc_00774,5,0.33803645
doc_00775,1,0.51225436
doc_00776,9,0.32684
doc_00777,2,0.20723917
doc_00778,1,0.5713356
doc_00779,9,0.20291312
doc_00780,1,0.44376373
doc_00781,1,0.51302975
doc_00782,14,0.11790846
doc_00783,1,0.33004624
doc_00784,1,0.31172982
doc_00785,4,0.28609207
doc_00786,8,0.111382134
doc_00787,5,0.25924766
doc_00788,1,0.4573629
doc_00789,7,0.117156774
doc_00790,5,0.1434233
doc_00791,12,0.13305083
doc_00792,2,0.09695465
doc_00793,14,0.22243473
doc_00794,1,0.2097097
doc_00795,8,0.16465545
doc_00796,2,0.19582443
doc_00797,4,0.17668691
doc_00798,2,0.51337564
doc_00799,4,0.16075799
doc_00800,1,0.171008
doc_00801,8,0.23337871
