Financial year,Period,Defect category,Overall % of tests,Overall % of defects,Dangerous defects % of tests,Dangerous defects % of defects,Major defects % of tests,Major defects % of defects
2019 to 2020,Quarter 4: January to March,Road Wheels,0.30%,0.60%,0.10%,0.50%,0.30%,0.60%
2019 to 2020,Quarter 4: January to March,Seat belt installation check,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 4: January to March,Seat belts and supplementary restraint systems,1.10%,1.80%,0.00%,0.30%,1.20%,2.10%
2019 to 2020,Quarter 4: January to March,Speedometer and speed limiter,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 4: January to March,Steering,1.70%,2.80%,0.10%,1.00%,1.70%,3.20%
2019 to 2020,Quarter 4: January to March,Suspension,7.90%,17.60%,0.60%,5.00%,8.60%,20.10%
2019 to 2020,Quarter 4: January to March,Tyres,5.80%,12.60%,5.60%,60.10%,1.60%,2.90%
2019 to 2020,Quarter 4: January to March,Visibility,4.20%,8.30%,0.00%,0.20%,5.20%,10.00%
2019 to 2020,Quarter 4: January to March,Overall Initial Failure Rate,30.70%,,9.00%,,21.70%,
2019 to 2020,Quarter 4: January to March,Average defects per Initial Test Failure,,2.52,,0.43,,2.1
2019 to 2020,Quarter 3: October to December,"Body, chassis, structure",3.60%,6.45%,0.24%,2.06%,3.76%,7.35%
2019 to 2020,Quarter 3: October to December,Brakes,6.80%,17.10%,3.00%,28.90%,5.80%,14.70%
2019 to 2020,Quarter 3: October to December,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 3: October to December,Identification of the vehicle,0.40%,0.70%,0.00%,0.00%,0.40%,0.90%
2019 to 2020,Quarter 3: October to December,"Lamps, reflectors and electrical equipment",11.90%,27.00%,0.20%,1.60%,13.10%,32.10%
2019 to 2020,Quarter 3: October to December,Motorcycle brakes,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 3: October to December,Motorcycle lamps and reflectors,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 3: October to December,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 3: October to December,"Noise, emissions and leaks",2.90%,5.20%,0.10%,0.40%,3.10%,6.10%
2019 to 2020,Quarter 3: October to December,Road Wheels,0.30%,0.60%,0.10%,0.50%,0.30%,0.60%
2019 to 2020,Quarter 3: October to December,Seat belt installation check,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 3: October to December,Seat belts and supplementary restraint systems,1.10%,1.80%,0.00%,0.30%,1.20%,2.10%
2019 to 2020,Quarter 3: October to December,Speedometer and speed limiter,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 3: October to December,Steering,1.70%,2.80%,0.10%,1.00%,1.70%,3.20%
2019 to 2020,Quarter 3: October to December,Suspension,7.90%,17.60%,0.60%,5.00%,8.60%,20.10%
2019 to 2020,Quarter 3: October to December,Tyres,5.80%,12.60%,5.60%,60.10%,1.60%,2.90%
2019 to 2020,Quarter 3: October to December,Visibility,4.20%,8.30%,0.00%,0.20%,5.20%,10.00%
2019 to 2020,Quarter 3: October to December,Overall Initial Failure Rate,30.70%,,9.00%,,21.70%,
2019 to 2020,Quarter 3: October to December,Average defects per Initial Test Failure,,2.52,,0.43,,2.1
2019 to 2020,Quarter 2: July to September,"Body, chassis, structure",4.30%,6.80%,0.30%,2.40%,4.10%,7.60%
2019 to 2020,Quarter 2: July to September,Brakes,8.10%,16.80%,3.10%,29.30%,6.10%,14.40%
2019 to 2020,Quarter 2: July to September,Identification of the vehicle,0.50%,0.70%,0.00%,0.00%,0.50%,0.80%
2019 to 2020,Quarter 2: July to September,"Lamps, reflectors and electrical equipment",13.90%,27.00%,0.30%,2.00%,13.80%,31.80%
2019 to 2020,Quarter 2: July to September,"Noise, emissions and leaks",3.60%,5.60%,0.10%,0.50%,3.50%,6.50%
2019 to 2020,Quarter 2: July to September,Road Wheels,0.30%,0.60%,0.10%,0.60%,0.30%,0.60%
2019 to 2020,Quarter 2: July to September,Seat belts and supplementary restraint systems,1.30%,1.90%,0.00%,0.30%,1.30%,2.30%
2019 to 2020,Quarter 2: July to September,Steering,2.00%,2.90%,0.10%,1.10%,1.90%,3.20%
2019 to 2020,Quarter 2: July to September,Suspension,9.70%,18.10%,0.60%,5.50%,9.30%,20.50%
2019 to 2020,Quarter 2: July to September,Tyres,6.80%,11.60%,5.50%,58.10%,1.70%,2.80%
2019 to 2020,Quarter 2: July to September,Visibility,5.30%,8.00%,0.00%,0.20%,5.30%,9.50%
2019 to 2020,Quarter 2: July to September,Overall Initial Failure Rate,31.70%,,9.10%,,22.60%,
2019 to 2020,Quarter 2: July to September,Average defects per Initial Test Failure,,2.59,,0.41,,2.18
2019 to 2020,Quarter 1: April to June,"Body, chassis, structure",4.43%,6.70%,0.33%,2.75%,4.19%,7.45%
2019 to 2020,Quarter 1: April to June,Brakes,8.30%,16.64%,3.14%,29.08%,6.25%,14.28%
2019 to 2020,Quarter 1: April to June,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 1: April to June,Identification of the vehicle,0.48%,0.69%,0.00%,0.00%,0.48%,0.83%
2019 to 2020,Quarter 1: April to June,"Lamps, reflectors and electrical equipment",14.33%,26.76%,0.29%,2.23%,14.17%,31.42%
2019 to 2020,Quarter 1: April to June,Motorcycle brakes,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 1: April to June,Motorcycle lamps and reflectors,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 1: April to June,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019 to 2020,Quarter 1: April to June,"Noise, emissions and leaks",3.70%,5.58%,0.07%,0.51%,3.66%,6.55%
2019 to 2020,Quarter 1: April to June,Road Wheels,0.35%,0.56%,0.06%,0.56%,0.29%,0.55%
2019 to 2020,Quarter 1: April to June,Seat belt installation check,0.01%,0.01%,0.00%,0.00%,0.01%,0.02%
2019 to 2020,Quarter 1: April to June,Seat belts and supplementary restraint systems,1.39%,1.95%,0.04%,0.29%,1.36%,2.27%
2019 to 2020,Quarter 1: April to June,Speedometer and speed limiter,0.01%,0.01%,0.00%,0.00%,0.01%,0.01%
2019 to 2020,Quarter 1: April to June,Steering,2.14%,2.97%,0.14%,1.11%,2.02%,3.32%
2019 to 2020,Quarter 1: April to June,Suspension,10.14%,18.32%,0.65%,5.71%,9.77%,20.72%
2019 to 2020,Quarter 1: April to June,Tyres,6.82%,11.19%,5.61%,57.55%,1.46%,2.39%
2019 to 2020,Quarter 1: April to June,Visibility,5.79%,8.59%,0.03%,0.20%,5.77%,10.19%
2019 to 2020,Quarter 1: April to June,Overall Initial Failure Rate,32.54%,,9.37%,,23.17%,
2019 to 2020,Quarter 1: April to June,Average defects per Initial Test Failure,,2.6,,0.4,,2.2
2018 to 2019,20 May 2018 to 31 March 2019,"Lamps, reflectors and electrical equipment",12.80%,26.70%,0.30%,2.80%,12.70%,31.00%
2018 to 2019,20 May 2018 to 31 March 2019,Suspension,9.10%,18.30%,0.60%,6.20%,8.70%,20.50%
2018 to 2019,20 May 2018 to 31 March 2019,Brakes,7.50%,17.00%,2.80%,30.70%,5.70%,14.60%
2018 to 2019,20 May 2018 to 31 March 2019,Tyres,5.80%,10.60%,4.50%,53.80%,1.60%,2.90%
2018 to 2019,20 May 2018 to 31 March 2019,Visibility,5.20%,8.60%,0.00%,0.30%,5.20%,10.10%
2018 to 2019,20 May 2018 to 31 March 2019,"Body, chassis, structure",4.00%,6.80%,0.30%,3.40%,3.80%,7.40%
2018 to 2019,20 May 2018 to 31 March 2019,"Noise, emissions and leaks",3.30%,5.70%,0.10%,0.70%,3.30%,6.60%
2018 to 2019,20 May 2018 to 31 March 2019,Steering,1.90%,2.90%,0.10%,1.20%,1.80%,3.20%
2018 to 2019,20 May 2018 to 31 March 2019,Seat belts and supplementary restraint systems,1.30%,2.00%,0.00%,0.30%,1.20%,2.30%
2018 to 2019,20 May 2018 to 31 March 2019,Identification of the vehicle,0.40%,0.70%,0.00%,0.00%,0.40%,0.80%
2018 to 2019,20 May 2018 to 31 March 2019,Road Wheels,0.30%,0.50%,0.10%,0.60%,0.30%,0.50%
2018 to 2019,20 May 2018 to 31 March 2019,Seat belt installation check,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2018 to 2019,20 May 2018 to 31 March 2019,Speedometer and speed limiter,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2018 to 2019,20 May 2018 to 31 March 2019,Overall Initial Failure Rate,33.40%,,9.40%,,24.00%,
2018 to 2019,20 May 2018 to 31 March 2019,Average defects per Initial Test Failure,,2.28,,0.35,,1.93
2018 to 2019,1 April 2018 to 19 May 2018,Body and structure,1.20%,1.90%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Brakes,9.60%,17.90%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Driver's view of the road,7.20%,9.50%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Driving controls,0.00%,0.00%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Fuel and exhaust,3.60%,5.30%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Lighting and signalling,16.90%,28.70%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Motor tricycles and quadricycles,0.00%,0.00%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Reg plates and VIN,0.70%,0.80%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Road wheels,0.40%,0.50%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Seat belts,1.60%,2.00%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Steering,2.30%,2.90%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Suspension,12.40%,20.10%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Towbars,0.00%,0.00%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Tyres,7.10%,10.20%,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Overall Initial Failure Rate,34.90%,,,,,
2018 to 2019,1 April 2018 to 19 May 2018,Average defects per Initial Test Failure,,2.8,,,,
2017 to 2018,,Body and structure,1.25%,1.90%,,,,
2017 to 2018,,Brakes,9.20%,17.20%,,,,
2017 to 2018,,Driver's view of the road,6.40%,8.70%,,,,
2017 to 2018,,Driving controls,0.00%,0.00%,,,,
2017 to 2018,,Fuel and exhaust,3.60%,5.40%,,,,
2017 to 2018,,Lighting and signalling,17.10%,29.60%,,,,
2017 to 2018,,Motor tricycles and quadricycles,0.00%,0.00%,,,,
2017 to 2018,,Reg plates and VIN,0.70%,0.85%,,,,
2017 to 2018,,Road wheels,0.30%,0.50%,,,,
2017 to 2018,,Seat belts,1.70%,2.20%,,,,
2017 to 2018,,Steering,2.40%,3.00%,,,,
2017 to 2018,,Suspension,12.10%,20.20%,,,,
2017 to 2018,,Towbars,0.00%,0.00%,,,,
2017 to 2018,,Tyres,7.10%,10.40%,,,,
2017 to 2018,,Overall Initial Failure Rate,34.50%,,,,,
2017 to 2018,,Average defects per Initial Test Failure,,2.77,,,,
2016 to 2017,,Body and structure,1.30%,2.00%,,,,
2016 to 2017,,Brakes,10.00%,17.20%,,,,
2016 to 2017,,Driver's view of the road,6.80%,8.80%,,,,
2016 to 2017,,Driving controls,0.00%,0.00%,,,,
2016 to 2017,,Fuel and exhaust,4.00%,5.60%,,,,
2016 to 2017,,Lighting and signalling,18.30%,29.70%,,,,
2016 to 2017,,Motor tricycles and quadricycles,0.00%,0.00%,,,,
2016 to 2017,,Reg plates and VIN,0.70%,0.90%,,,,
2016 to 2017,,Road wheels,0.40%,0.50%,,,,
2016 to 2017,,Seat belts,1.90%,2.30%,,,,
2016 to 2017,,Steering,2.60%,3.10%,,,,
2016 to 2017,,Suspension,12.20%,19.40%,,,,
2016 to 2017,,Towbars,0.00%,0.00%,,,,
2016 to 2017,,Tyres,7.40%,10.50%,,,,
2016 to 2017,,Overall Initial Failure Rate,35.40%,,,,,
2016 to 2017,,Average defects per Initial Test Failure,,2.85,,,,
2015 to 2016,,Body and structure,1.30%,2.00%,,,,
2015 to 2016,,Brakes,9.70%,16.90%,,,,
2015 to 2016,,Driver's view of the road,6.70%,9.00%,,,,
2015 to 2016,,Driving controls,0.00%,0.00%,,,,
2015 to 2016,,Fuel and exhaust,4.00%,5.60%,,,,
2015 to 2016,,Lighting and signalling,17.90%,29.60%,,,,
2015 to 2016,,Motor tricycles and quadricycles,0.00%,0.00%,,,,
2015 to 2016,,Reg plates and VIN,0.70%,0.80%,,,,
2015 to 2016,,Road wheels,0.30%,0.50%,,,,
2015 to 2016,,Seat belts,1.90%,2.40%,,,,
2015 to 2016,,Steering,2.70%,3.20%,,,,
2015 to 2016,,Suspension,12.20%,19.70%,,,,
2015 to 2016,,Towbars,0.00%,0.00%,,,,
2015 to 2016,,Tyres,7.10%,10.10%,,,,
2015 to 2016,,Overall Initial Failure Rate,36.80%,,,,,
2015 to 2016,,Average defects per Initial Test Failure,,2.92,,,,
2014 to 2015,,Body and structure,1.40%,2.00%,,,,
2014 to 2015,,Brakes,9.60%,17.20%,,,,
2014 to 2015,,Driver's view of the road,6.60%,8.50%,,,,
2014 to 2015,,Driving controls,0.00%,0.00%,,,,
2014 to 2015,,Fuel and exhaust,4.30%,5.80%,,,,
2014 to 2015,,Lighting and signalling,18.40%,30.00%,,,,
2014 to 2015,,Motor tricycles and quadricycles,0.00%,0.00%,,,,
2014 to 2015,,Reg plates and VIN,0.80%,0.90%,,,,
2014 to 2015,,Road wheels,0.30%,0.50%,,,,
2014 to 2015,,Seat belts,2.20%,2.60%,,,,
2014 to 2015,,Steering,2.90%,3.40%,,,,
2014 to 2015,,Suspension,12.00%,18.70%,,,,
2014 to 2015,,Towbars,0.00%,0.00%,,,,
2014 to 2015,,Tyres,7.40%,10.00%,,,,
2014 to 2015,,Overall Initial Failure Rate,38.30%,,,,,
2014 to 2015,,Average defects per Initial Test Failure,,2.99,,,,
2013 to 2014,,Body and structure,1.50%,1.90%,,,,
2013 to 2014,,Brakes,10.40%,17.40%,,,,
2013 to 2014,,Driver's view of the road,7.10%,8.70%,,,,
2013 to 2014,,Driving controls,0.00%,0.00%,,,,
2013 to 2014,,Fuel and exhaust,4.60%,5.90%,,,,
2013 to 2014,,Lighting and signalling,19.10%,29.10%,,,,
2013 to 2014,,Motor tricycles and quadricycles,0.00%,0.00%,,,,
2013 to 2014,,Reg plates and VIN,0.80%,0.90%,,,,
2013 to 2014,,Road wheels,0.40%,0.40%,,,,
2013 to 2014,,Seat belts,2.60%,2.90%,,,,
2013 to 2014,,Steering,3.30%,3.60%,,,,
2013 to 2014,,Suspension,12.80%,18.70%,,,,
2013 to 2014,,Towbars,0.00%,0.00%,,,,
2013 to 2014,,Tyres,7.80%,9.90%,,,,
2013 to 2014,,Overall Initial Failure Rate,40.00%,-,,,,
2013 to 2014,,Average defects per Initial Test Failure, - ,3.08,,,,
