Financial year,Period,Defect category,Overall % of tests,Overall % of defects,Dangerous defects % of tests,Dangerous defects % of defects,Major defects % of tests,Major defects % of defects
2023 to 2024,Quarter 1: April to June,Identification of the vehicle,0.36%,0.66%,,,0.36%,0.79%
2023 to 2024,Quarter 1: April to June,"Lamps, reflectors and electrical equipment",11.08%,25.23%,0.16%,1.51%,10.99%,29.68%
2023 to 2024,Quarter 1: April to June,Motorcycle brakes,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2023 to 2024,Quarter 1: April to June,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,,
2023 to 2024,Quarter 1: April to June,"Noise, emissions and leaks",3.02%,5.56%,0.03%,0.28%,3.01%,6.55%
2023 to 2024,Quarter 1: April to June,Road Wheels,0.38%,0.74%,0.07%,0.79%,0.31%,0.73%
2023 to 2024,Quarter 1: April to June,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2023 to 2024,Quarter 1: April to June,Seat belts and supplementary restraint systems,1.04%,1.74%,0.04%,0.37%,1.01%,2.00%
2023 to 2024,Quarter 1: April to June,Speedometer and speed limiter,0.01%,0.01%,,,0.01%,0.01%
2023 to 2024,Quarter 1: April to June,Steering,1.66%,2.87%,0.09%,0.90%,1.59%,3.24%
2023 to 2024,Quarter 1: April to June,Suspension,8.59%,18.78%,0.48%,5.14%,8.31%,21.35%
2023 to 2024,Quarter 1: April to June,Tyres,6.40%,12.78%,4.78%,60.29%,1.91%,3.84%
2023 to 2024,Quarter 1: April to June,Visibility,5.30%,9.39%,0.01%,0.13%,5.30%,11.13%
2023 to 2024,Quarter 1: April to June,Overall Initial Failure Rate,28.18%,,7.71%,,20.47%,
2023 to 2024,Quarter 1: April to June,Average defects per Initial Test Failure,,2.46,,0.39,,2.07
2022 to 2023,Total,"Body, chassis, structure",3.46%,6.42%,0.19%,1.96%,3.33%,7.26%
2022 to 2023,Total,Brakes,6.66%,16.05%,2.55%,28.71%,4.97%,13.67%
2022 to 2023,Total,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022 to 2023,Total,Identification of the vehicle,0.37%,0.69%,,,0.37%,0.82%
2022 to 2023,Total,"Lamps, reflectors and electrical equipment",11.41%,25.81%,0.16%,1.48%,11.32%,30.38%
2022 to 2023,Total,Motorcycle brakes,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022 to 2023,Total,Motorcycle lamps and reflectors,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022 to 2023,Total,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,,
2022 to 2023,Total,"Noise, emissions and leaks",3.05%,5.55%,0.04%,0.34%,3.03%,6.53%
