doc_name,thread_name,engine_group,dominant_topic,mileage_mentioned,mileage_confidence,gamma_vector
doc_00036,1.4 TSI egzos seti ses yuksekligi,1.4_TSI,7,NA,none,"[0.000145, 0.002284, 0.000606, 0.001461, 0.000538, 0.000353, 0.982615, 0.000363, 0.000268, 0.002805, 0.001652, 0.000309, 0.000172, 0.000186, 0.000499, 0.003820, 0.000445, 0.000830, 0.000553, 0.000097]"
doc_00037,1.4 tsi  rolantide titreme,1.4_TSI,16,45000,medium,"[0.000013, 0.000171, 0.000247, 0.000180, 0.000040, 0.000082, 0.000120, 0.000171, 0.000044, 0.000378, 0.000343, 0.000112, 0.000068, 0.000039, 0.000189, 0.996725, 0.000088, 0.000799, 0.000051, 0.000139]"
doc_00038,1.4 tsi 1.2 tsi yay,1.4_TSI,2,NA,none,"[0.000618, 0.959741, 0.002920, 0.003993, 0.001507, 0.001092, 0.001423, 0.001233, 0.000739, 0.005869, 0.001622, 0.001181, 0.000790, 0.000555, 0.001396, 0.007243, 0.001331, 0.002963, 0.003531, 0.000251]"
doc_00039,1.4 tsi bmt hararet dusmesi,1.4_TSI,15,30000,medium,"[0.001107, 0.012118, 0.244479, 0.001567, 0.000853, 0.001658, 0.002512, 0.000549, 0.000745, 0.005304, 0.004068, 0.000767, 0.001453, 0.000640, 0.330693, 0.054852, 0.001417, 0.018568, 0.002792, 0.313857]"
doc_00040,1.4 tsi motor manuelde dsg benzeri olay,1.4_TSI,18,107000,medium,"[0.000147, 0.001070, 0.001054, 0.001149, 0.000163, 0.000387, 0.000426, 0.000279, 0.000219, 0.002102, 0.001750, 0.000337, 0.000467, 0.000220, 0.002536, 0.007282, 0.001022, 0.978723, 0.000547, 0.000120]"
doc_00041,1.4 tsi motor tarafindan gelen ses,1.4_TSI,16,NA,none,"[0.000393, 0.005557, 0.002231, 0.003312, 0.000849, 0.001225, 0.001643, 0.039560, 0.000369, 0.005635, 0.005220, 0.001532, 0.001314, 0.000493, 0.003798, 0.910691, 0.001919, 0.011191, 0.001206, 0.001860]"
doc_00042,1.4 tsi oksijen lambda sensor (zengin karisim),1.2_TSI,9,116000,medium,"[0.000390, 0.001494, 0.000537, 0.000700, 0.001314, 0.002142, 0.001208, 0.001015, 0.877756, 0.001324, 0.004838, 0.000187, 0.000289, 0.002195, 0.006631, 0.039174, 0.000154, 0.012341, 0.003117, 0.043194]"
doc_00043,1.4 tsi yag eksiltme,1.4_TSI,17,130000,medium,"[0.000477, 0.002839, 0.001306, 0.001908, 0.001474, 0.000573, 0.000812, 0.001530, 0.000523, 0.007126, 0.002766, 0.000757, 0.000311, 0.000227, 0.000677, 0.061517, 0.911053, 0.003131, 0.000845, 0.000147]"
doc_00044,1.4 tsi yag seviyesini kontrol edin,1.4_TSI,16,2000,medium,"[0.000167, 0.000266, 0.000969, 0.000810, 0.000440, 0.001813, 0.002237, 0.001460, 0.000688, 0.048942, 0.002886, 0.000878, 0.000217, 0.000403, 0.004060, 0.921226, 0.000215, 0.009515, 0.001217, 0.001590]"
doc_00045,1.4-122 titreyerek calisma,unknown,11,NA,none,"[0.001594, 0.000387, 0.004053, 0.003113, 0.005556, 0.136635, 0.004049, 0.003221, 0.003024, 0.000642, 0.412407, 0.003700, 0.002576, 0.004203, 0.001050, 0.402474, 0.002554, 0.005305, 0.001650, 0.001805]"
