topic,feature,coefficient
26,engine_spec_reg_2.0_TSI,-0.5656
26,engine_spec_reg_other,-0.4981
26,engine_spec_reg_unknown,0.2117
26,technical_bucket_medium,-0.0031
27,mileage_log,0.2308
27,prod_year_centered,0.0411
27,engine_spec_reg_1.6_TDI,-0.315
27,engine_spec_reg_2.0_TDI,-0.1158
27,engine_spec_reg_2.0_TSI,-0.2274
27,engine_spec_reg_other,0.3374
27,engine_spec_reg_unknown,0.5835
27,technical_bucket_medium,0.7361
