doc_name,thread_name,thread_url,dominant_topic,topic_gamma,engine_group,mileage_miles,mileage_confidence,technical_bucket,chronic_score,n_messages,gamma_vector
doc_00011,Soundaktor disconnection,https://www.golfgtiforum.co.uk/index.php?topic=277484.0,11,0.10519869398338393,MK8,5000.0,high,high,2,18,"[0.02828004542868412, 0.011208276617377487, 0.014001042425106552, 0.013333928176981655, 0.0413916540683454, 0.01682763581280919, 0.0126149716850977, 0.010999656260834616, 0.017999657939896118, 0.011224123039040291, 0.10519869398338393, 0.02300214414080576, 0.009301099325743576, 0.015627431808044677, 0.015908666531221128, 0.016469420809718697, 0.024532522833203705, 0.02025716502267937, 0.024641474881074186, 0.013053812303264472, 0.012225621339566976, 0.015498341630297424, 0.015453084527481965, 0.020210353224858684, 0.02076954446591108]"
doc_00012,GTI Clubsport S register - JOIN HERE! 75 of the 150 found so far!,https://www.golfgtiforum.co.uk/index.php?topic=279405.0,6,0.013829317097878088,MK7.5,11000.0,high,high,2,10,"[0.14309191530946433, 0.011048041647736474, 0.05345088801788952, 0.011385597304842492, 0.022615511694728745, 0.013829317097878088, 0.014844815369566158, 0.03400469631773556, 0.00950793480970779, 0.014735771241169829, 0.018501553226648784, 0.023748837389719377, 0.011504947372757838, 0.016482577746893406, 0.02434011632738791, 0.03921030249716154, 0.02585155074125684, 0.01391610218675739, 0.014904006883537815, 0.009032016842139579, 0.015890201315082206, 0.014148512968715039, 0.03943741370220401, 0.013267708532613985, 0.018684704561725725]"
doc_00013,Battery low voltage,https://www.golfgtiforum.co.uk/index.php?topic=290971.0,14,1.0,unknown,33000.0,high,high,2,6,"[2.806599821447715e-308, 3.7124250030992515e-308, 2.296830508633756e-308, 3.7736282610373886e-308, 4.010987359571107e-308, 4.341611936970054e-308, 2.7483571388910877e-308, 2.298762257458073e-308, 2.5533561105184563e-308, 1.849134161594113e-308, 2.567290134089752e-308, 3.9347728691435936e-308, 1.613383711515779e-308, 1.0, 3.4371547459132085e-308, 2.443776393592237e-308, 2.6216594991558686e-308, 8.384410753249987e-308, 8.366954030166794e-308, 1.9589833923175327e-308, 2.1691635607435353e-308, 1.885402623854814e-308, 3.408895428926053e-308, 1.0626845136260587e-307, 9.690035322517597e-308]"
doc_00014,Dash Cam Options?,https://www.golfgtiforum.co.uk/index.php?topic=291293.0,4,0.02298757288637949,MK8,,none,low,0,5,"[0.010250142189259796, 0.01890765062295481, 0.008020962993988617, 0.02298757288637949, 0.01185301351503894, 0.012559592702625137, 0.008692033924379073, 0.008341246169965982, 0.009777017068077877, 0.00707001398083695, 0.009411490885250352, 0.015601701455242131, 0.006151473076549929, 0.0316596101212229, 0.012026699404733871, 0.009281242942649585, 0.00865778101259462, 0.02973978131453013, 0.022037156755884482, 0.007734960785145486, 0.008241807653391548, 0.007409162757642931, 0.011108656124834968, 0.02101939625595291, 0.02912295889707654]"
doc_00015,New Tyre Option Michelin Crossclimate 3 Sport,https://www.golfgtiforum.co.uk/index.php?topic=291150.0,13,0.10878828850543672,unknown,,none,low,0,3,"[0.013413989055345, 0.006639438694353707, 0.009919254821610114, 0.008641867845313527, 0.00945999063092369, 0.010088202433052302, 0.009517792823113835, 0.009157868112158745, 0.013493123788454325, 0.08343324156120417, 0.010354793930919237, 0.013439957098604755, 0.10878828850543672, 0.009676014124870515, 0.017063404711308162, 0.017676207241311317, 0.008967402501180418, 0.00873480759692414, 0.008982930050417651, 0.0183252068513286, 0.03852691266676863, 0.02934806776111162, 0.01276912864045294, 0.008226118527778895, 0.011546516461280206]"
doc_00016,Stage 1,https://www.golfgtiforum.co.uk/index.php?topic=291298.0,5,1.0,unknown,,none,medium,1,4,"[6.094098311961978e-308, 1.880954013266322e-308, 3.021739113733601e-308, 1.894189913890113e-308, 1.0, 2.625063794967381e-308, 2.423056190354168e-308, 2.2199257957679163e-308, 2.5999973200898234e-308, 1.9064352060555606e-308, 7.598314688244813e-308, 3.089108258501477e-308, 1.6028705978208985e-308, 2.556176185796549e-308, 2.571065624682891e-308, 2.763554470629465e-308, 8.367163402834224e-308, 2.9385494857479074e-308, 3.6860693643684986e-308, 2.1019422758548267e-308, 2.019905145687907e-308, 2.60168580168628e-308, 2.9004731138760447e-308, 3.1691097363146473e-308, 2.868117957843713e-308]"
doc_00017,Road Noise,https://www.golfgtiforum.co.uk/index.php?topic=290977.0,9,1.0,MK7.5,55000.0,high,high,3,14,"[2.2434283117476966e-308, 1.4409592796687624e-308, 1.6696215564701124e-308, 2.2365157703541544e-308, 2.5874643167760857e-308, 3.5553115819899584e-308, 2.1043458752192075e-308, 1.4633793113366406e-308, 1.0, 2.569236034650049e-308, 2.7023125596121816e-308, 3.217191403990611e-308, 2.260143642139025e-308, 2.4249784265495907e-308, 3.0170418807503224e-308, 2.34363961981445e-308, 1.928503898073592e-308, 2.548859651100617e-308, 2.814888215122273e-308, 9.743953509638176e-308, 2.917331157760629e-308, 3.8299210710161887e-308, 2.3132515303468314e-308, 2.4481850211901127e-308, 3.2450259562088406e-308]"
doc_00018,acceleration hesitation,https://www.golfgtiforum.co.uk/index.php?topic=291299.0,5,1.0,Golf_R,41000.0,high,high,2,8,"[4.774320439482023e-308, 2.408004981720241e-308, 3.0406848597620707e-308, 2.4564748124458615e-308, 1.0, 3.938426934433324e-308, 2.861493389991003e-308, 2.4648049471382236e-308, 3.0630690619054144e-308, 1.943764089800567e-308, 5.345768484076934e-308, 3.8676200045404105e-308, 1.654722892866157e-308, 3.785370672613366e-308, 3.0697762284673164e-308, 2.7804597371266445e-308, 5.854067783782996e-308, 4.943972548134255e-308, 7.433145494402706e-308, 2.2092221232290106e-308, 2.161071380636193e-308, 2.401726461773289e-308, 3.459422069883251e-308, 5.876528078991903e-308, 4.2725088093530143e-308]"
doc_00019,Mk7 gti performance headlights,https://www.golfgtiforum.co.uk/index.php?topic=291311.0,4,0.24775765299862232,MK7,,none,low,0,2,"[0.008404699608304946, 0.010088058837677777, 0.0064751109517329755, 0.24775765299862232, 0.00885177547196827, 0.012186570461921965, 0.007258201127617195, 0.006449462743372398, 0.010060629307561828, 0.00673184878202405, 0.008306553179574933, 0.01463624281741805, 0.005918350835454324, 0.013925310879637696, 0.010852133381922573, 0.00812822207111627, 0.0067408078862754815, 0.017090394992601107, 0.014383821080300266, 0.007584820280743933, 0.007926632461806048, 0.0071253571668140865, 0.008680941021127757, 0.012317360465945943, 0.02802724907882439]"
doc_00020,Elring Rear Main Seal. Anyone used?,https://www.golfgtiforum.co.uk/index.php?topic=291313.0,6,0.11572521430542272,unknown,,none,low,0,2,"[0.019153004151185676, 0.012633405890568045, 0.014810721293240802, 0.023078877849648315, 0.022057968426664305, 0.11572521430542272, 0.02154704289548635, 0.013311984517247617, 0.032550749263597814, 0.015855108340725028, 0.018642976166362405, 0.043820947981851224, 0.01339731187389321, 0.031619496557356234, 0.03615970758677794, 0.019851492326767823, 0.0155827328690106, 0.02855316647614274, 0.03227863476202372, 0.019716667930784047, 0.020351807930553915, 0.017478378874487135, 0.02424520288594012, 0.02440672831258562, 0.06557777388689254]"
doc_00021,Virtual cockpit upgrades??,https://www.golfgtiforum.co.uk/index.php?topic=291320.0,2,0.047406641771797396,MK7.5,,none,low,0,1,"[0.024493279228839628, 0.047406641771797396, 0.019338184175264537, 0.02439097902693517, 0.024378330154680758, 0.018814344780938252, 0.016049834954112874, 0.021211362918237647, 0.013932985911833885, 0.013257707713375757, 0.018937680960286578, 0.027094094052458596, 0.01130369362681092, 0.03550136180899805, 0.02260621966475543, 0.020355846107106362, 0.019698128389823415, 0.0360980463610463, 0.029245373890359947, 0.011721166479797953, 0.0150279539707939, 0.013271827576780675, 0.024288348535990368, 0.029543164183679128, 0.03216157415378451]"
doc_00022,Seeking Suspension Guru / KW Street Comfort,https://www.golfgtiforum.co.uk/index.php?topic=291321.0,22,1.0,unknown,,none,low,0,1,"[3.3151769733338725e-308, 1.4318159746384105e-308, 2.1974410250811415e-308, 1.932732203156239e-308, 2.5128004814692074e-308, 2.499945722839354e-308, 2.16658021867078e-308, 1.8746517237516715e-308, 3.7415706123788776e-308, 7.517810306287162e-308, 2.897683351170015e-308, 3.4242093935018687e-308, 4.908213679211883e-308, 2.2253632858744034e-308, 4.101914582344545e-308, 4.057073694015964e-308, 2.2201790584686797e-308, 2.1070302131025955e-308, 2.25843687359662e-308, 5.396789402193436e-308, 5.684279242414689e-308, 1.0, 2.9291392040521986e-308, 1.993271838963927e-308, 2.8927642990659863e-308]"
