T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,doc_name
0.06309117,0.05632931,0.07341134,0.07214091,0.05924271,0.051900942,0.05343852,0.073704004,0.055999827,0.09158475,0.059262775,0.054996263,0.068431854,0.10129952,0.065166116,doc_00077
0.11105491,0.03775942,0.11295309,0.037916563,0.04438908,0.041841526,0.040717565,0.043548148,0.042643294,0.042365152,0.03354694,0.118614495,0.13216893,0.10330604,0.057174895,doc_00078
0.14754805,0.15936099,0.13501379,0.038869523,0.03560855,0.03139874,0.03176844,0.047599807,0.030943573,0.04093758,0.03432017,0.047765482,0.036524218,0.13085838,0.051482715,doc_00079
0.17190276,0.017064763,0.024695717,0.035126712,0.016742896,0.01842319,0.018416537,0.022251977,0.024650654,0.2999152,0.25833696,0.016681358,0.025532097,0.018179243,0.032079935,doc_00080
0.24734657,0.08977148,0.025353715,0.02684811,0.03163312,0.034344975,0.031085668,0.026476711,0.035818174,0.03036463,0.027999276,0.029094184,0.29257235,0.029944154,0.04134685,doc_00081
0.060370445,0.037187174,0.11317231,0.08474916,0.04729382,0.03698281,0.037429083,0.06394546,0.045261268,0.138707,0.047643475,0.0587016,0.04568687,0.12311156,0.05975792,doc_00082
0.253767,0.015959252,0.021635475,0.032692146,0.020239212,0.019098291,0.0187096,0.024646174,0.026831033,0.42127767,0.046945717,0.018248195,0.02953308,0.018716238,0.031700987,doc_00083
0.046710126,0.034535512,0.034689724,0.039119933,0.031469394,0.037689906,0.03692133,0.03607957,0.03431869,0.043922678,0.0322772,0.23951373,0.08331665,0.21986304,0.04957248,doc_00084
0.267111,0.08866731,0.03339827,0.025429964,0.30548942,0.022613063,0.020196266,0.024244444,0.025021745,0.026090974,0.018253073,0.027404299,0.034202594,0.046385545,0.03549202,doc_00085
0.19394235,0.055882785,0.04147605,0.18591851,0.032532748,0.05208002,0.115797885,0.033276264,0.045070015,0.039538234,0.048205905,0.033919387,0.03693747,0.034039557,0.051382814,doc_00086
0.50420076,0.026385527,0.04262305,0.04610854,0.03419431,0.02074004,0.02038189,0.03554785,0.024597201,0.052627157,0.03877841,0.025885843,0.047565456,0.04229913,0.038064837,doc_00087
0.038363185,0.24968024,0.03921829,0.03225053,0.11403544,0.03622298,0.035294276,0.03582437,0.03528212,0.034138568,0.036692854,0.03829687,0.036727138,0.18792051,0.0500526,doc_00088
0.03757774,0.22970732,0.03649966,0.031129606,0.12984705,0.03518227,0.03406361,0.035535436,0.034109544,0.033226408,0.034726392,0.03606637,0.03472959,0.20873868,0.048860267,doc_00089
0.4459202,0.028193507,0.045769718,0.046699967,0.034630567,0.042771917,0.039783113,0.04887411,0.036074713,0.055320192,0.04106893,0.029919598,0.02494087,0.034481175,0.045551408,doc_00090
0.08093874,0.32395387,0.03092407,0.033874404,0.032023184,0.097673826,0.0972211,0.042361833,0.03440857,0.035011787,0.03577966,0.045606498,0.030624775,0.03098455,0.04861313,doc_00091
0.24506629,0.3822887,0.040204253,0.04124309,0.028232953,0.024722872,0.02379439,0.030966306,0.02624533,0.02235541,0.022637233,0.020517783,0.029206056,0.026317049,0.036202304,doc_00092
0.4384233,0.057886127,0.04479125,0.055591773,0.029070044,0.041642204,0.044977013,0.04422864,0.033104625,0.038459025,0.0425928,0.0265916,0.028741024,0.030619424,0.043281183,doc_00093
0.13375907,0.019915402,0.023789555,0.16409384,0.02133731,0.02301742,0.02191387,0.15610224,0.025647324,0.27017948,0.03845447,0.016938329,0.02867172,0.018709961,0.03747,doc_00094
0.4605109,0.037971135,0.03974162,0.046047688,0.030201206,0.04412327,0.03887086,0.06616751,0.0422129,0.04539469,0.0318231,0.021036537,0.023665389,0.028895037,0.043338165,doc_00095
0.1928566,0.039645553,0.10028927,0.11605073,0.04560857,0.054742917,0.046895895,0.11798566,0.037530433,0.048480842,0.038631935,0.031137347,0.03579366,0.04029541,0.054055233,doc_00096
0.4061485,0.052988853,0.038071305,0.04986685,0.027082756,0.0343658,0.034856625,0.024471087,0.068749815,0.033082582,0.04077869,0.05231114,0.07079808,0.024490973,0.04193691,doc_00097
0.5168405,0.02731681,0.027646668,0.047670837,0.023924202,0.031251762,0.027631724,0.031272855,0.028557815,0.055143688,0.048882924,0.031869233,0.03435132,0.028891988,0.038747665,doc_00098
0.60962576,0.023343008,0.04954168,0.07888786,0.017274197,0.015889967,0.015695548,0.02061077,0.032485615,0.021316515,0.023163086,0.020730278,0.021064926,0.021826347,0.028544536,doc_00099
0.47713566,0.023444213,0.025806453,0.053687923,0.025096467,0.019465482,0.021659438,0.036007073,0.031973943,0.12619263,0.05477676,0.015022641,0.024096595,0.030986533,0.034648217,doc_00100
0.557718,0.03916409,0.042892896,0.048464805,0.03297804,0.025241876,0.023723925,0.03184901,0.024686,0.032636866,0.036419224,0.024933593,0.021234747,0.023893142,0.03416381,doc_00101
0.05440818,0.20178543,0.13626842,0.038509093,0.17144825,0.046226278,0.041819748,0.037112694,0.03922042,0.033693377,0.038834196,0.036641866,0.035033546,0.03768603,0.051312484,doc_00102
0.06478071,0.051110342,0.18042336,0.059708223,0.054292344,0.05071189,0.049919557,0.048557095,0.06724048,0.07227259,0.06678648,0.05796989,0.06523706,0.048904903,0.062085044,doc_00103
0.20994578,0.022850478,0.04143746,0.23515983,0.02231088,0.027958667,0.027079822,0.03303489,0.14009592,0.062349673,0.05819225,0.023477338,0.03230306,0.021630958,0.042172965,doc_00104
0.18601874,0.19906455,0.036492962,0.03835003,0.18804118,0.03196332,0.031360593,0.032197915,0.03515553,0.03051559,0.03268988,0.03778913,0.028882362,0.042580057,0.048898146,doc_00105
0.40735656,0.029145453,0.018649198,0.038576476,0.019352471,0.035008147,0.03778147,0.08272942,0.039589904,0.13903427,0.059578676,0.013415161,0.018310871,0.025737036,0.03573489,doc_00106
0.461158,0.027662626,0.037314106,0.058057155,0.03016175,0.02966247,0.03204128,0.049198136,0.04972488,0.06973336,0.05216479,0.018614566,0.022489179,0.022897922,0.039119843,doc_00107
0.11820922,0.0458805,0.08667924,0.12822911,0.0575606,0.0514213,0.050857924,0.08931327,0.05263379,0.065044254,0.058819383,0.045809727,0.04349034,0.045006983,0.061044313,doc_00108
0.073160246,0.023298537,0.04442281,0.040423546,0.022154503,0.023472136,0.023680737,0.025921294,0.030389812,0.5376134,0.041852977,0.020672066,0.033884097,0.02366854,0.035385307,doc_00109
0.49193618,0.03318126,0.026621565,0.046205778,0.026838768,0.023279436,0.023648454,0.030667122,0.05186612,0.04519532,0.06298029,0.026187098,0.03587863,0.03555386,0.039960187,doc_00110
0.19433011,0.14472154,0.036187183,0.032732863,0.24428345,0.036823235,0.03505939,0.035534594,0.027402671,0.032136638,0.028462071,0.028533287,0.044967342,0.033165433,0.04566024,doc_00111
