topic,engine_group,estimate,ci_lower,ci_upper,significant
11,1.5_DCI,0.05629043394750655,0.05021815276816467,0.06192319781646955,True
12,1.5_DCI,0.05031248565367518,0.045309659126105684,0.05615701887901668,True
13,1.5_DCI,0.0490966604083247,0.0445018700562005,0.05454714918797859,True
14,1.5_DCI,0.0473404216548409,0.04252813765038008,0.052680186093333574,True
15,1.5_DCI,0.05836372557831114,0.05629559667092748,0.060295479469190144,True
1,1.6_NA,0.20995232132459904,0.1352206415985495,0.307940879703106,True
2,1.6_NA,0.04702837386291126,0.028400627778766993,0.07123411598747519,True
3,1.6_NA,0.047926633610995036,0.0313877852753864,0.07255884984309331,True
4,1.6_NA,0.07766011194642639,0.04853304023353833,0.11468701791944862,True
5,1.6_NA,0.06407737243520556,0.04042182484271215,0.10005639618358948,True
6,1.6_NA,0.06371100689664395,0.04032137978548785,0.0956256603937366,True
7,1.6_NA,0.05087234952670454,0.03319270228853612,0.07665266037644722,True
8,1.6_NA,0.0793484474212521,0.052625870752066775,0.12137776639610916,True
9,1.6_NA,0.04924486111060813,0.030607082795225504,0.07601656297547435,True
10,1.6_NA,0.049133266261454145,0.03148511822264041,0.07333980323928614,True
11,1.6_NA,0.054416735367390216,0.0353178809477267,0.07771431996492033,True
12,1.6_NA,0.04575947333798294,0.02935194354040412,0.06725731936463257,True
13,1.6_NA,0.060370556790022865,0.03630851274573284,0.08769897052064081,True
14,1.6_NA,0.042928920389752386,0.02747905620142634,0.0657916349375729,True
15,1.6_NA,0.05756956971805479,0.048401948271494646,0.06490063818934483,True
1,DCI_unknown,0.17037099616251783,0.12999904447347363,0.2183050534796358,True
2,DCI_unknown,0.0536251201754551,0.03990729522719318,0.07461809113425794,True
3,DCI_unknown,0.0677596736251781,0.05231225801630502,0.08611715451379091,True
4,DCI_unknown,0.0742643669847122,0.05724821743446884,0.09265902112365082,True
5,DCI_unknown,0.06956419617559412,0.053750193249706285,0.08773177665450758,True
6,DCI_unknown,0.0541062581901018,0.0415584186501793,0.06843463946666876,True
7,DCI_unknown,0.05161338748536504,0.040022975070798626,0.06408703152059264,True
8,DCI_unknown,0.052230358091788456,0.04000230953980126,0.06620201793283623,True
9,DCI_unknown,0.0643428193434666,0.04811919369145511,0.08064625501030231,True
10,DCI_unknown,0.0582478414804561,0.04551255573356818,0.07267942312079385,True
11,DCI_unknown,0.0644777287380105,0.05037994437061357,0.08178340186409368,True
12,DCI_unknown,0.05068460221482523,0.039579048954481104,0.06330355349521363,True
13,DCI_unknown,0.056614675813010204,0.04391707636200987,0.06998591031129417,True
14,DCI_unknown,0.048305666306604066,0.03790012692166313,0.060590067469028897,True
15,DCI_unknown,0.0637923092129177,0.05862726970900534,0.06830479638542689,True
1,TCE_unknown,0.2919838991587692,0.20097100859448605,0.4001302593461379,True
2,TCE_unknown,0.04674647901005393,0.030128303522175146,0.07408991151847474,True
3,TCE_unknown,0.05265840396242048,0.03591469165400657,0.0777273566079971,True
4,TCE_unknown,0.07245895571978724,0.04733699680570394,0.1032344418228263,True
5,TCE_unknown,0.06231605382305293,0.04102412286065591,0.0910568700213052,True
6,TCE_unknown,0.05562206901535892,0.03752553253337467,0.08321577661802379,True
7,TCE_unknown,0.040624988968917766,0.027147547808283493,0.05796646417133833,True
8,TCE_unknown,0.05122655415721839,0.033971664269342186,0.07505124758733298,True
9,TCE_unknown,0.053137017207296,0.03534138487956148,0.07611210947217727,True
10,TCE_unknown,0.05007013537916414,0.03256449806649232,0.072176341419285,True
11,TCE_unknown,0.04857676876660765,0.03314402822656982,0.07016658020462992,True
12,TCE_unknown,0.03614398272357185,0.023438917838328674,0.05409039177209848,True
13,TCE_unknown,0.04749047796736141,0.03122376662414025,0.06664406232463875,True
14,TCE_unknown,0.038659597996191314,0.02504949275461118,0.056095669175701086,True
15,TCE_unknown,0.05228461614421887,0.04405020292015878,0.059721365736642947,True
1,unknown,0.1504746872093231,0.1434549856864995,0.15831121472085546,True
2,unknown,0.0752907811120952,0.0717455240239293,0.07918081787657981,True
3,unknown,0.058347050430330116,0.055721275170485654,0.061154756858778324,True
4,unknown,0.0641548383189634,0.06117077881921174,0.06693807029043479,True
5,unknown,0.0654732900969198,0.06247386260022417,0.06824267309882744,True
6,unknown,0.06517706944334792,0.062283666965444566,0.06873301441415025,True
7,unknown,0.05666941002453912,0.054237162615805086,0.059209133865945424,True
8,unknown,0.06284892885220479,0.060152184969331425,0.06574037469970147,True
9,unknown,0.05912995388019319,0.056466742291233434,0.06189954919570388,True
10,unknown,0.057126984267934014,0.0545654707576261,0.0597670833592973,True
11,unknown,0.053694524156726056,0.05149642375957,0.055971666961503956,True
12,unknown,0.055428477542727075,0.0530562095460509,0.05806566776639228,True
13,unknown,0.058860882847702384,0.05637799513126798,0.06174739643730255,True
14,unknown,0.05587760703195884,0.0535814912122399,0.05842035144719282,True
15,unknown,0.06144551478503016,0.060580551418436976,0.06216615370809533,True
